Date,Open,High,Low,Close,Adj Close,Volume
22-04-2022,34.139999,34.57,32.869999,33.16,33.16,3653200
25-04-2022,32.849998,34.119999,32.709999,33.91,33.91,5292700
26-04-2022,33.360001,33.740002,32.400002,32.450001,32.450001,4226700
27-04-2022,32.07,33,31.52,32.23,32.23,4989000
28-04-2022,32.900002,33.830002,31.879999,33.560001,33.560001,4543900
29-04-2022,33.259998,34.355,32.560001,32.599998,32.599998,4723100
02-05-2022,32.259998,32.525002,29.93,31.5,31.5,11738200
03-05-2022,31.389999,31.65,30.059999,30.76,30.76,24562300
04-05-2022,22.27,22.459999,20.02,21.559999,21.559999,112518800
05-05-2022,21.6,22.82,21.209999,22.030001,22.030001,43122300
06-05-2022,21.705,21.719999,19.59,20.51,20.51,28942200
09-05-2022,19.85,20.639999,18.4,18.610001,18.610001,22056800
10-05-2022,18.945,19.629999,18.200001,19,19,21736800
11-05-2022,18.950001,19.370001,17.52,17.719999,17.719999,21542400
12-05-2022,17.264999,19.004999,17.24,18.59,18.59,16174800
13-05-2022,18.860001,20.18,18.860001,20,20,12841800
16-05-2022,19.85,20.030001,19.115,19.139999,19.139999,9447600
17-05-2022,19.51,20.177999,19.129999,19.719999,19.719999,10205900
18-05-2022,19.530001,19.690001,18.120001,18.15,18.15,13838300
19-05-2022,18.209999,19.57,18.17,19.290001,19.290001,11638000
20-05-2022,19.48,19.559999,18.025,19.07,19.07,12774500
23-05-2022,19.200001,20.24,18.68,20.209999,20.209999,11299800
24-05-2022,19.75,19.785,16.57,16.719999,16.719999,18054600
25-05-2022,16.77,17.145,16.33,16.65,16.65,16228500
26-05-2022,16.799999,17.799999,16.610001,17.68,17.68,14710200
27-05-2022,17.959999,18.24,17.68,17.77,17.77,11974700
31-05-2022,17.68,18.309999,17.358,17.68,17.68,11197900
01-06-2022,17.629999,17.98,16.975,17.059999,17.059999,10384700
02-06-2022,17.01,18.465,17,18.370001,18.370001,9383000
03-06-2022,17.969999,18.1,17.309999,17.4,17.4,8264000
06-06-2022,17.778,17.91,16.77,17.16,17.16,10924300
07-06-2022,16.9,17.43,16.77,17.209999,17.209999,7785100
08-06-2022,17.25,17.799,17.209999,17.629999,17.629999,13225300
09-06-2022,17.389999,17.870001,16.91,16.940001,16.940001,9674800
10-06-2022,16.58,16.959999,15.75,15.77,15.77,10767000
13-06-2022,15.08,15.235,14.18,14.29,14.29,13251900
14-06-2022,14.535,14.64,13.92,14.16,14.16,9608500
15-06-2022,14.33,15.43,14.32,15.16,15.16,14019200
16-06-2022,14.65,14.9,13.73,13.88,13.88,9558900
17-06-2022,14.005,14.94,13.955,14.89,14.89,13349500
21-06-2022,15.24,15.5,14.635,14.67,14.67,10831800
22-06-2022,14.425,15.34,14.38,14.83,14.83,7721000
23-06-2022,14.85,15.95,14.57,15.88,15.88,10774900
24-06-2022,15.81,16.540001,15.74,16.34,16.34,12218500
27-06-2022,16.49,16.73,15.78,15.89,15.89,8555800
28-06-2022,15.95,16.16,14.6,14.61,14.61,15581600
29-06-2022,14.58,14.58,13.85,14.03,14.03,12088000
30-06-2022,13.78,13.86,13.06,13.28,13.28,11812400
01-07-2022,13.38,13.7,13.13,13.48,13.48,9734300
05-07-2022,13.13,14.03,12.79,14,14,13045800
06-07-2022,13.78,13.93,13.14,13.22,13.22,16466900
07-07-2022,13.29,13.81,13.17,13.76,13.76,19296800
08-07-2022,13.67,13.82,13.05,13.4,13.4,16036200
11-07-2022,13.18,13.39,12.34,12.36,12.36,17393400
12-07-2022,12.35,12.775,12.35,12.61,12.61,12376500
13-07-2022,12.24,12.6,11.96,12.51,12.51,10535300
14-07-2022,12.3,12.48,12.02,12.09,12.09,11913200
15-07-2022,12.31,13.03,12.14,12.94,12.94,13497100
18-07-2022,13.21,13.99,13.17,13.41,13.41,15973000
19-07-2022,13.52,13.83,13.295,13.66,13.66,9009300
20-07-2022,13.79,14.805,13.79,14.7,14.7,14194700
21-07-2022,14.39,14.529,13.99,14.17,14.17,10305100
22-07-2022,14.32,14.47,13.46,13.54,13.54,8055100
25-07-2022,13.52,13.53,13.02,13.31,13.31,7564000
26-07-2022,13.07,13.11,12.47,12.53,12.53,10823900
27-07-2022,12.83,13.378,12.515,13.31,13.31,10838900
28-07-2022,13.33,13.89,13.05,13.88,13.88,11858900
29-07-2022,13.7,13.89,13.185,13.86,13.86,11762900
01-08-2022,13.64,14.136,13.17,13.9,13.9,12540900
02-08-2022,15.25,16.215,15.15,16.16,16.16,29803800
03-08-2022,16.35,16.924999,16.235001,16.709999,16.709999,23366300
04-08-2022,16.74,17.455,16.74,17.389999,17.389999,27582400
05-08-2022,18.209999,20.35,17.92,20.280001,20.280001,47487000
08-08-2022,20.059999,21.52,19.783001,19.83,19.83,23531700
09-08-2022,19.379999,19.629999,18.655001,18.67,18.67,14189900
10-08-2022,19.700001,20.129999,19.15,19.4,19.4,15119400
11-08-2022,19.809999,20.549999,18.879999,18.9,18.9,12045300
12-08-2022,19.174999,19.43,18.58,19.4,19.4,11344600
15-08-2022,19.110001,19.85,18.860001,19.290001,19.290001,7992300
16-08-2022,19.120001,19.725,18.68,19.34,19.34,9512600
17-08-2022,18.799999,18.93,17.799999,17.969999,17.969999,14805400
18-08-2022,17.98,18.02,17.58,17.6,17.6,6607800
19-08-2022,17.27,17.370001,16.565001,16.65,16.65,10492100
22-08-2022,16.26,16.43,15.175,15.52,15.52,17169900
23-08-2022,15.65,15.8,15.32,15.35,15.35,8054900
24-08-2022,15.23,15.92,15.16,15.39,15.39,9291000
25-08-2022,15.55,15.92,15.355,15.84,15.84,7546700
26-08-2022,15.78,16,14.88,14.97,14.97,10281400
29-08-2022,14.78,15.26,14.71,14.73,14.73,7966300
30-08-2022,15.02,15.13,14.47,14.72,14.72,9975200
31-08-2022,15,15.338,14.66,14.73,14.73,10569600
01-09-2022,14.45,14.68,13.71,14.67,14.67,11527300
02-09-2022,14.91,15.03,14.34,14.6,14.6,7850100
06-09-2022,14.68,14.69,13.77,13.97,13.97,9940300
07-09-2022,13.9,14.76,13.88,14.69,14.69,8675500
08-09-2022,14.51,17.209999,14.26,17.17,17.17,42151500
09-09-2022,17.1,18.360001,17.07,18.110001,18.110001,26673700
12-09-2022,18.18,18.575001,17.860001,18.190001,18.190001,15246200
13-09-2022,17.379999,17.77,16.790001,16.879999,16.879999,13112900
14-09-2022,16.809999,17.129999,16.315001,17.110001,17.110001,11469900
15-09-2022,17,18.084999,16.865,16.99,16.99,11553900
16-09-2022,16.27,16.57,16.02,16.27,16.27,13725200
19-09-2022,16.129999,16.389999,15.92,16.24,16.24,13940600
20-09-2022,16.030001,17.440001,16.02,16.870001,16.870001,17465600
21-09-2022,16.84,16.875,15.795,15.94,15.94,14774700
22-09-2022,15.75,15.91,14.66,14.69,14.69,18091100
23-09-2022,14.25,14.4,13.7,13.99,13.99,15249200
26-09-2022,13.5,13.99,13.41,13.52,13.52,17830600
27-09-2022,13.89,14.345,13.744,14.16,14.16,11694200
28-09-2022,14.03,14.62,13.795,14.5,14.5,14729800
29-09-2022,14.14,14.26,13.05,13.48,13.48,16690400
30-09-2022,13.41,13.81,13.13,13.17,13.17,9049200
03-10-2022,13.19,13.22,12.47,12.95,12.95,14537900
04-10-2022,13.41,13.89,13.41,13.8,13.8,15195600
05-10-2022,13.31,13.92,13.215,13.75,13.75,9669100
06-10-2022,13.76,14.23,13.43,13.7,13.7,9195100
07-10-2022,13.02,13.1,12.325,12.51,12.51,16712700
10-10-2022,12.81,13.01,12.36,12.81,12.81,11877900
11-10-2022,12.19,12.3,10.825,11.27,11.27,39753100
12-10-2022,11.62,12.15,11.5,11.9,11.9,19996100
13-10-2022,11.35,12.235,11.21,11.99,11.99,13878400
14-10-2022,12.21,12.4,11.735,11.77,11.77,9546000
17-10-2022,12.15,12.695,12.09,12.66,12.66,14033000
18-10-2022,13.3,13.54,13,13.29,13.29,12383700
19-10-2022,13.03,13.55,12.92,13.02,13.02,14397100
20-10-2022,12.91,13.935,12.91,13.31,13.31,11105100
21-10-2022,13.12,13.64,12.905,13.56,13.56,10990800
24-10-2022,13.47,13.91,13.23,13.9,13.9,10128100
25-10-2022,13.97,15.035,13.9,14.81,14.81,14506500
26-10-2022,14.69,15.155,14.4,14.76,14.76,9423500
27-10-2022,14.75,15.035,14.44,14.63,14.63,7604900
28-10-2022,14.55,14.765,14.085,14.52,14.52,10749000
31-10-2022,14.53,15.025,14.325,14.64,14.64,11140000
01-11-2022,15.96,16.4,15.12,15.15,15.15,20388000
02-11-2022,14.98,15.26,13.975,14,14,12427800
03-11-2022,13.78,14.215,13.43,13.72,13.72,14173900
04-11-2022,13.98,14.15,13.17,13.74,13.74,11873400
07-11-2022,14.12,14.255,13.2,14.14,14.14,27568700
08-11-2022,11.938,12.191,10.62,10.9,10.9,80955300
09-11-2022,10.76,11.095,10.6,10.64,10.64,28137100
10-11-2022,11.24,11.495,10.913,11.28,11.28,31008400
11-11-2022,11.19,12.79,11.14,12.7,12.7,26140500
14-11-2022,12.54,13.25,12.465,12.95,12.95,15062100
15-11-2022,13.55,13.74,13.01,13.07,13.07,16226000
16-11-2022,12.79,12.79,11.91,11.97,11.97,16593500
17-11-2022,11.71,11.725,11.27,11.35,11.35,14255600
18-11-2022,11.55,11.6,11.07,11.21,11.21,10511100
21-11-2022,11.05,11.1,10.74,11.05,11.05,15314000
22-11-2022,10.8,11.06,10.43,11.05,11.05,15220200
23-11-2022,11.02,11.39,10.72,11.31,11.31,16125500
25-11-2022,11.09,11.17,10.9,11.14,11.14,4981900
28-11-2022,10.97,11.09,10.69,10.7,10.7,10906300
29-11-2022,10.81,11.15,10.59,10.76,10.76,13346800
30-11-2022,10.72,11.25,10.48,11.22,11.22,31346900
01-12-2022,11.27,11.58,11.06,11.2,11.2,10777400
02-12-2022,10.91,11.12,10.71,11.1,11.1,10285500
05-12-2022,11.1,11.59,10.71,10.78,10.78,13843700
06-12-2022,10.78,10.959,10.305,10.41,10.41,15257600
07-12-2022,10.34,10.365,10.09,10.32,10.32,10740500
