x1,x2,target
16.24,-1.53,-3.08
-6.12,-24.33,-11.049999999999997
-5.28,5.08,-3.08
-10.73,-3.24,-10.83
8.65,-15.11,-84.66
-23.02,-8.71,32.55
17.45,-8.65,-36.72
-7.61,6.09,18.28
3.19,5.62,17.47
-2.49,15.15,-5.949999999999999
14.62,6.48,22.370000000000005
-20.6,-13.52,10.470000000000002
-3.22,-14.09,34.04
-3.84,11.31,20.22
11.34,15.67,13.89
-11.0,-2.38,0.4200000000000017
-1.72,5.59,51.6
-8.78,-15.05,-69.37
0.42,-19.44,-35.84
5.83,-11.74,-26.72
-11.01,-3.57,-38.47
11.45,-5.21,-40.5
9.02,-2.3,-76.47999999999999
5.02,-4.91,-4.22
9.01,6.79,-44.379999999999995
-6.84,14.28,32.22
-1.23,0.36,-6.26
-9.36,20.3,4.68
-2.68,-6.34,-50.269999999999996
5.3,-5.25,-31.04
-6.92,3.88,20.12
-3.97,-3.55,-3.3399999999999994
-6.87,11.77,38.629999999999995
-8.45,-6.41,-21.61
-6.71,13.23,68.12
-0.13,1.94,-5.07
-11.17,25.65,11.46
2.34,-4.64,32.32
16.6,-2.03,22.099999999999994
7.42,1.46,-8.67
-1.92,-21.81,-34.42
-8.88,6.02,42.2
-7.47,4.81,-14.540000000000001
16.92,1.09,12.229999999999997
0.51,-15.44,-57.56999999999999
-6.37,-15.47,-11.600000000000001
1.91,5.87,4.31
21.0,11.75,26.990000000000002
1.2,15.94,-40.14
6.17,-8.95,-8.09
3.0,-10.31,-16.93
-3.52,-2.72,0.8899999999999998
-11.43,-19.76,-34.85
-3.49,-5.89,-41.46
-2.09,8.52,-3.280000000000001
5.87,16.35,3.2300000000000004
8.39,2.79,38.66
9.31,16.41,10.44
2.86,4.11,1.1200000000000006
8.85,1.91,14.01
-7.54,-1.71,-42.53
12.53,1.87,11.02
5.13,-2.55,19.78
-2.98,-1.41,28.78
4.89,-6.62,-21.5
-0.76,2.59,-33.71
11.32,0.14,-40.730000000000004
15.2,-14.8,-22.58
21.86,-2.41,-8.169999999999998
-13.96,-8.56,43.699999999999996
-14.44,-20.48,39.6
-5.04,4.84,36.019999999999996
1.6,15.59,15.01
8.76,23.7,22.89
3.16,15.62,5.3999999999999995
-20.22,-8.71,43.16
-3.06,11.75,32.64
8.28,11.2,9.4
2.3,-19.88,-59.85
7.62,8.61,32.39
-2.22,6.27,-37.32
-2.01,1.63,40.59
1.87,2.89,30.56
4.1,0.58,-51.129999999999995
1.98,16.32,12.89
1.19,-4.02,-42.45
-6.71,-2.0,0.3700000000000001
3.78,0.07,12.95
1.22,2.76,-2.5599999999999996
11.29,-17.63,-69.84
11.99,13.88,9.71
1.85,2.26,8.19
-3.75,5.69,8.620000000000001
-6.39,1.97,-22.990000000000002
4.23,-1.86,-16.580000000000002
0.77,-3.55,3.74
-3.44,0.96,-0.25
0.44,1.52,64.46000000000001
-6.2,11.55,25.43
6.98,3.46,-9.72
-4.47,-1.33,17.62
12.25,19.87,-25.539999999999996
4.03,-12.79,-4.200000000000001
5.94,-13.4,29.16
-10.95,3.55,-12.010000000000002
1.69,-2.12,5.16
7.41,-17.75,-2.1499999999999986
-9.54,-3.12,-44.379999999999995
-2.66,-7.11,44.72
0.33,11.31,-20.37
-13.73,-6.21,-2.5300000000000002
3.15,10.51,18.78
8.46,4.6,-10.840000000000002
-8.6,-2.06,30.63
3.51,0.21,1.2300000000000004
-13.12,4.29,34.5
-0.39,-23.08,-20.439999999999998
-16.16,3.27,63.589999999999996
11.21,-3.79,-75.46000000000001
4.09,17.98,24.810000000000002
-0.25,-6.91,-15.68
-7.75,11.43,-9.59
12.74,-25.15,-62.24
19.67,8.15,-28.68
-18.58,2.76,38.69
12.36,-2.47,-41.71
16.28,-1.21,-22.39
3.38,-2.61,2.2699999999999996
-11.99,4.23,-18.450000000000003
8.63,-1.34,23.4
-1.81,-17.88,56.580000000000005
-6.04,-1.86,-16.04
-12.3,22.35,62.230000000000004
5.51,0.47,-14.329999999999998
7.93,2.91,10.98
-6.24,-4.38,-3.59
5.21,1.74,62.790000000000006
-11.44,1.78,3.4899999999999984
8.02,-2.61,13.190000000000001
0.47,8.63,26.38
-1.87,-9.23,-39.88
-1.02,-1.3,-65.09
8.69,5.05,13.73
7.5,-2.67,15.17
5.29,-12.24,-33.63
1.38,5.58,-14.8
0.78,-9.82,18.700000000000003
6.18,-4.47,14.940000000000001
2.32,-8.28,18.08
6.83,-1.11,-0.10000000000000053
-3.1,-4.29,-24.84
-24.35,-4.75,-16.939999999999998
10.39,6.81,-63.37
21.87,17.63,-5.970000000000002
4.41,-3.58,49.589999999999996
-1.0,5.23,20.57
-1.36,-3.55,-4.58
-1.19,0.99,-43.44
